filing_status,income,student_loan_interest,mortgage_interest,charitable_donations,dependents,predicted_tax,refund
head_of_household,60970,867,7605,4405,0,3967,0
single,43380,2066,9915,3203,0,2691,0
head_of_household,65409,431,9784,1574,1,2892,0
head_of_household,58995,739,2606,2892,3,0,2072
single,55221,1373,8350,1695,0,4376,0
single,41848,182,4781,3258,0,2726,0
head_of_household,48464,2160,3313,3262,3,0,3550
married_filing_jointly,75107,1206,9968,1445,1,3153,0
head_of_household,70018,1169,7763,219,1,3830,0
head_of_household,40448,830,5939,52,3,0,3968
head_of_household,61986,1651,2295,1757,1,2313,0
head_of_household,75027,1136,5685,1666,0,6621,0
single,26611,475,1696,2785,3,0,5049
head_of_household,70867,1326,1946,719,0,5872,0
married_filing_jointly,46747,970,2783,405,2,0,2099
single,71411,1019,3644,2294,2,3242,0
married_filing_jointly,44734,1141,5241,71,1,0,321
married_filing_jointly,23902,1836,6420,2053,2,0,4000
married_filing_jointly,27449,160,7557,1229,0,0,0
married_filing_jointly,60961,2448,2645,1567,2,0,710
single,65194,197,6589,3682,0,5749,0
single,41913,1283,6353,2953,1,639,0
married_filing_jointly,72771,659,1932,4482,1,2571,0
married_filing_jointly,26769,1775,1757,698,0,0,0
single,58678,1070,5085,826,2,931,0
single,35779,2010,5637,348,1,128,0
single,46963,398,1116,3908,3,0,2763
head_of_household,60947,1733,492,307,1,2352,0
head_of_household,42791,1582,8811,3416,2,0,2180
head_of_household,52308,2125,7888,2334,3,0,2974
married_filing_jointly,80125,2171,6474,4861,2,1293,0
head_of_household,48462,74,9738,4820,0,2512,0
married_filing_jointly,76713,2184,4958,2809,3,0,937
married_filing_jointly,37405,601,9797,3558,2,0,3445
head_of_household,70596,836,9467,4478,3,0,882
married_filing_jointly,88831,1528,2743,3477,2,3655,0
head_of_household,10567,499,7866,4620,3,0,6000
head_of_household,44062,1596,7160,2686,2,0,1942
single,71541,137,5451,2985,0,7312,0
head_of_household,55939,2097,5258,275,3,0,2287
single,67422,1794,8548,2547,3,138,0
head_of_household,47920,972,7186,2764,3,0,3413
head_of_household,61731,1642,6102,336,3,0,1545
single,56886,1885,9061,1973,0,4481,0
single,83355,2301,9077,2979,3,3437,0
head_of_household,65088,2028,9475,4576,1,2302,0
married_filing_jointly,66752,1900,619,3968,0,3762,0
single,51762,1449,882,910,1,2046,0
married_filing_jointly,50247,546,8988,1996,3,0,3819
married_filing_jointly,51348,921,3642,3129,2,0,1868
married_filing_jointly,67889,580,1296,4204,1,2028,0
single,51580,1372,8436,3757,3,0,2307
married_filing_jointly,65795,1956,2895,327,1,2077,0
single,101508,2003,6593,1799,3,7755,0
married_filing_jointly,77422,2096,929,314,3,0,283
head_of_household,53479,703,5366,3545,3,0,2808
head_of_household,84024,2308,8711,1134,2,4459,0
single,51838,2403,3212,2746,1,1720,0
head_of_household,19237,1625,2409,4876,0,0,0
head_of_household,39838,637,8199,1520,0,1805,0
married_filing_jointly,22584,1009,3423,155,0,0,0
single,52969,640,6976,1724,0,4190,0
married_filing_jointly,60368,1861,7594,3343,3,0,2924
married_filing_jointly,93528,1205,5158,886,1,7329,0
married_filing_jointly,66538,685,3667,3073,1,1989,0
married_filing_jointly,55617,1851,5973,2805,2,0,1428
married_filing_jointly,76588,187,6236,721,1,3863,0
married_filing_jointly,15777,1619,8277,912,1,0,2000
married_filing_jointly,64712,1687,2468,3357,1,1616,0
single,75417,984,6217,870,2,4444,0
head_of_household,30428,547,3619,4108,0,497,0
married_filing_jointly,82875,1431,1636,497,1,5021,0
married_filing_jointly,66769,875,8155,1756,2,152,0
married_filing_jointly,51694,617,3583,1117,2,0,1548
married_filing_jointly,72655,2461,4009,3409,3,0,1529
married_filing_jointly,105413,1365,3326,2828,2,7481,0
married_filing_jointly,63637,1243,8148,1647,0,3745,0
head_of_household,64964,902,2217,2983,1,2613,0
head_of_household,50812,162,4967,142,2,0,655
married_filing_jointly,43003,1974,2369,2761,0,1056,0
head_of_household,76606,269,3638,3435,2,2769,0
single,42878,631,9135,4660,2,0,1371
married_filing_jointly,61431,905,5722,2431,2,0,572
single,50446,2014,4444,4512,2,0,611
single,69579,1641,7618,1848,2,2800,0
married_filing_jointly,66673,204,3947,2696,0,4108,0
head_of_household,80750,581,1676,1717,1,5990,0
single,49799,1579,1196,3072,1,1535,0
married_filing_jointly,54602,840,2787,1067,1,779,0
single,40424,1836,7432,2786,1,414,0
single,51114,1251,9653,3791,0,3646,0
single,67546,1719,7927,1288,3,459,0
single,75139,1642,3318,3871,3,1578,0
head_of_household,41556,2297,8858,1806,0,1778,0
single,77392,874,6689,1504,0,8763,0
single,87112,1464,2176,3308,2,6375,0
single,68268,2243,3743,2951,2,2136,0
head_of_household,97535,689,8792,71,2,8022,0
single,44524,2010,4422,1690,1,1016,0
single,35106,1422,3824,1344,2,0,2001
head_of_household,24425,2001,9171,3303,3,0,6000
head_of_household,89920,671,2451,3113,1,7681,0
head_of_household,73087,1171,628,882,2,2358,0
single,58888,1495,9821,4234,1,2497,0
head_of_household,65599,943,7778,2662,3,0,1276
head_of_household,37490,2246,3696,1504,2,0,2667
single,108915,1449,3674,2463,3,9361,0
head_of_household,62584,895,3929,2553,3,0,1619
single,62187,2189,2765,732,3,0,700
married_filing_jointly,74515,1336,4369,1748,2,1027,0
head_of_household,69620,164,8307,3924,0,5148,0
married_filing_jointly,64477,2361,4956,423,2,0,140
single,44190,2068,692,3478,3,0,3244
head_of_household,69429,1105,3162,1591,2,1412,0
single,97640,1753,1105,4485,3,6368,0
married_filing_jointly,86908,2352,3008,4437,0,6839,0
single,91863,1938,2161,4709,1,9008,0
head_of_household,49775,370,8345,492,0,3153,0
head_of_household,40207,1880,3699,191,0,1860,0
married_filing_jointly,57484,852,3786,498,1,1192,0
single,61114,383,9256,4917,2,815,0
head_of_household,81883,1931,4200,1256,1,6044,0
married_filing_jointly,26150,2492,1913,1968,2,0,4000
head_of_household,90591,424,9408,4322,2,5617,0
head_of_household,56839,2208,5520,2186,3,0,2422
single,51462,628,1772,816,3,0,1879
head_of_household,39757,894,2780,3220,1,0,438
single,26902,2374,7423,1473,0,920,0
head_of_household,76463,597,2871,1086,1,5183,0
married_filing_jointly,61466,2336,660,4199,2,0,952
head_of_household,34200,592,6242,1874,3,0,4906
single,34098,1687,1132,870,1,0,97
single,53284,572,699,4763,1,1871,0
married_filing_jointly,93380,2075,7470,2042,3,2851,0
head_of_household,54808,2090,6297,272,3,0,2422
head_of_household,29937,1704,7812,1029,3,0,5359
married_filing_jointly,55085,2470,4557,3218,2,0,1616
head_of_household,54545,176,2179,4069,3,0,2680
head_of_household,10000,528,9065,1051,0,0,0
single,58914,1633,8275,4033,1,2507,0
head_of_household,55381,965,1422,1573,3,0,2374
head_of_household,73924,1517,3180,3190,3,0,40
married_filing_jointly,96979,197,4316,4388,2,5540,0
married_filing_jointly,82531,852,6696,3797,2,2347,0
single,54622,1537,9583,3289,1,2093,0
head_of_household,37869,2069,614,3747,0,1130,0
head_of_household,111467,1080,4570,2105,1,12553,0
head_of_household,61184,97,270,307,3,0,1422
single,60278,1903,2468,3359,0,4719,0
single,59517,434,9582,3176,0,4826,0
married_filing_jointly,63961,636,3607,1251,0,3904,0
single,57112,587,3075,2747,0,4571,0
head_of_household,48526,343,289,1517,1,883,0
head_of_household,49062,1317,8120,1378,2,0,1151
single,59344,1979,6614,4891,2,414,0
head_of_household,49131,570,3252,4992,3,0,3487
head_of_household,45743,610,7415,1961,2,0,1535
single,62128,1727,6771,4305,2,849,0
single,54900,2290,278,2863,2,87,0
head_of_household,90079,1854,580,2656,2,5556,0
head_of_household,10000,959,4958,2494,3,0,6000
head_of_household,81830,2079,8445,4567,1,5271,0
married_filing_jointly,84921,2438,4276,4005,0,6478,0
married_filing_jointly,18532,2324,7997,3563,2,0,4000
married_filing_jointly,53146,531,4776,922,1,659,0
single,52571,1177,824,4232,2,0,222
married_filing_jointly,31849,2430,3832,4462,2,0,4000
single,44443,1091,8891,2959,0,2965,0
single,37788,1901,5445,183,0,2402,0
married_filing_jointly,95045,883,1380,3358,0,9190,0
married_filing_jointly,78713,2261,9865,1398,2,1725,0
married_filing_jointly,85431,1678,6534,2796,2,3024,0
head_of_household,74433,2423,3156,536,2,2455,0
married_filing_jointly,37418,2260,4307,1273,0,618,0
head_of_household,49509,2126,5634,2967,3,0,3386
single,69787,1749,8575,3049,1,4558,0
head_of_household,35557,781,5810,1096,3,0,4674
married_filing_jointly,74259,2105,8533,1305,2,957,0
single,55193,880,5934,915,2,525,0
single,52503,446,3109,3081,3,0,2004
single,74219,2113,4082,4247,2,3189,0
head_of_household,68885,1783,3240,1028,1,3267,0
married_filing_jointly,52780,1277,6028,1977,2,0,1600
single,83186,1991,1849,3354,1,7385,0
single,38378,1067,8497,2511,3,0,3706
single,72318,1577,2749,270,3,1764,0
head_of_household,71862,1011,6680,1186,2,2057,0
head_of_household,53809,2274,9327,4555,1,921,0
married_filing_jointly,66522,773,205,4200,2,0,158
head_of_household,34977,1814,7352,3764,0,859,0
single,78480,2426,4591,2398,0,8464,0
married_filing_jointly,56301,1201,3450,4529,0,2524,0
single,49545,1450,7214,4235,0,3381,0
single,80980,306,3811,4182,2,5088,0
head_of_household,45913,778,5141,1711,0,2494,0
married_filing_jointly,31830,2315,8501,2230,1,0,2000
head_of_household,28867,7,2708,128,3,0,5206
head_of_household,72120,475,1991,1269,3,214,0
married_filing_jointly,34391,1320,8463,3672,0,169,0
single,95095,2211,3273,1601,0,12342,0
single,18361,484,4538,4765,0,0,0
married_filing_jointly,93929,904,8712,3970,2,4805,0
single,64220,558,9168,4244,3,0,667
married_filing_jointly,58065,1967,3722,4947,0,2594,0
married_filing_jointly,49101,2285,3551,627,1,0,1
head_of_household,67982,1127,2832,3797,0,4850,0
married_filing_jointly,59247,1233,5679,2044,3,0,2827
head_of_household,82066,467,6579,3552,0,7901,0
single,62284,2433,152,4979,3,0,1297
single,63006,847,5754,2341,0,5420,0
single,52727,2434,2800,3214,1,1767,0
single,58861,258,5310,249,0,5120,0
head_of_household,66156,282,9944,2925,1,2837,0
single,25796,1649,2610,974,1,0,1067
married_filing_jointly,33036,1898,1104,1325,0,211,0
married_filing_jointly,74865,39,7361,983,1,3458,0
married_filing_jointly,63417,2267,4199,888,2,0,312
head_of_household,56320,1014,3854,2937,0,3568,0
single,60368,612,7263,2117,0,5034,0
single,66951,1915,1914,2672,1,3980,0
single,49204,687,7365,4970,1,1343,0
head_of_household,44433,612,3072,1326,0,2383,0
married_filing_jointly,63916,2307,9198,470,2,0,207
married_filing_jointly,40432,2413,406,1987,1,0,1166
single,68165,1781,166,90,1,4845,0
married_filing_jointly,25948,1810,508,529,3,0,6000
married_filing_jointly,80583,1547,1661,4756,2,1555,0
head_of_household,69451,1930,3664,4059,2,899,0
head_of_household,65120,1152,3489,4834,0,4380,0
head_of_household,79653,574,680,2773,2,3518,0
head_of_household,93309,1910,2524,4967,0,9746,0
single,80287,1012,2120,1686,3,3330,0
head_of_household,23182,669,5260,191,2,0,3847
married_filing_jointly,34408,268,4357,1986,1,0,1554
single,47503,1283,1363,3623,3,0,2770
married_filing_jointly,60521,923,9523,2185,0,3345,0
married_filing_jointly,70353,1125,2292,4440,3,0,1769
married_filing_jointly,45485,1529,1538,1008,0,1609,0
head_of_household,63735,1758,3408,3783,3,0,1732
head_of_household,44892,1594,7742,4298,0,1964,0
single,47769,246,8752,4668,2,0,739
single,31866,1560,9291,4287,1,0,759
head_of_household,41535,2178,1903,2052,0,1760,0
married_filing_jointly,32966,2400,174,3308,3,0,6000
single,40482,2243,2230,1716,0,2500,0
head_of_household,81072,1939,4287,310,0,8072,0
head_of_household,41012,929,4160,4538,0,1549,0
head_of_household,112647,226,7106,1260,3,9186,0
married_filing_jointly,69866,264,9689,4965,1,2212,0
head_of_household,63696,1395,3171,3932,2,288,0
head_of_household,42832,1457,1567,3268,1,0,143
head_of_household,74006,645,1151,584,0,6742,0
head_of_household,48487,2258,7619,2799,3,0,3504
single,62440,1418,6033,359,1,3606,0
single,111201,1473,8560,2866,0,15770,0
head_of_household,58078,1387,4946,2011,2,0,154
married_filing_jointly,82985,1899,8234,4939,2,1965,0
single,45936,1249,1907,4006,2,0,1000
head_of_household,59300,981,3490,1625,0,4087,0
single,95416,1154,2535,2764,3,6390,0
single,47460,587,4173,890,1,1635,0
married_filing_jointly,96248,475,1293,731,2,6122,0
head_of_household,74155,1821,4769,3961,0,5773,0
head_of_household,48750,985,4796,4701,0,2451,0
married_filing_jointly,72648,2203,6871,2504,1,2608,0
married_filing_jointly,79451,1241,2972,614,2,2284,0
head_of_household,72436,189,3922,3806,0,5788,0
